id	name	ascii	tes	lat	long	tes2	tes3	tes4	tes5	tes6	tes7	tes8	tes9	tes10	tes11	tes12	tes13	tes14
6296595	Jersey Airport	Jersey Airport	Aeroporto de Jersey,Aeroporto di Jersey,Aeroportul Jersey,Aeropuerto de Jersey,Aeropuertu de Xersei,Aeropuertu de Xerséi,Dzersijas lidosta,Dzhehrsi,Dzhersi,Džērsijas lidosta,EGJJ,Flughafen Jersey,Flughaveno Jerzejo,Flughaveno Ĵerzejo,JER,Jersey Airport,Jersey-i repueloter,Jersey-i repülőtér,Lapangan Terbang Jersey,Port lotniczy Jersey,San bay Jersey,Sân bay Jersey,aeroport de Jersey,aéroport de Jersey,frwdgah jrzy,jaji kong gang,mtar jyrsy,ze xi ji chang,Джерси,Джерсі,Джэрсі,Фурудгоҳи ҷрзи,فرودگاه جرزی,مطار جيرسى,ジャージー空港,泽西机场,澤西機場	49.20787	-2.19456	S	AIRP	JE	GB	3237221				0	84	82	Europe/Jersey	2014-11-02
6619950	Jersey, Channel Islands	Jersey, Channel Islands		49.18585	-2.11006	A	ADMD	JE	GB					0		11	Europe/Jersey	2015-03-14
6640908	Grosnez Castle	Grosnez Castle	Grosnez Castle,Le Chateau de Gros Nez	49.25722	-2.24694	S	RUIN	JE		0				0		50	Europe/Jersey	2012-01-20
6640909	Le Pinacle	Le Pinacle	Le Pinacle,Pinnacle Rock	49.2475	-2.25389	T	PT	JE		0				0		0	Europe/Jersey	2012-01-20
6640910	Long Rock	Long Rock		49.29417	-2.20917	T	RK	JE		0				0		-9999	Europe/Jersey	2008-02-09
6640911	Les Laveurs	Les Laveurs	Les Laveurs	49.23	-2.23222	T	BCH	JE		0				0		7	Europe/Jersey	2018-12-06
6640912	Lewis Tower	Lewis Tower	La Petite Tour,Lewis Tower,Martello Tower Number 1	49.22972	-2.235	S	TOWR	JE		0				0		6	Europe/Jersey	2012-01-20
6640913	Kempt Tower	Kempt Tower	Grosse Tour,Kemp Tower,Kempt Tower,La Grosse Tour,Martello Tower Number 2	49.22111	-2.22806	S	TOWR	JE		0				0		12	Europe/Jersey	2012-01-20
6640914	Saint Peter’s Mill	Saint Peter's Mill		49.23389	-2.18417	S	ML	JE		0				0		96	Europe/Jersey	2008-02-09
6640915	Le Val Rouget	Le Val Rouget	Le Val Rouget	49.24667	-2.19583	T	VAL	JE		0				0		59	Europe/Jersey	2018-12-06
6640916	Meulet Point	Meulet Point		49.23889	-2.06389	T	PT	JE		0				0		0	Europe/Jersey	2008-02-09
6640917	Le Sauchet	Le Sauchet		49.24139	-2.04861	H	COVE	JE		0				0		1	Europe/Jersey	2008-02-09
